A,Mot
Long-playing,Choi lau
Long-range,Tam xa
Long-running,Lau dai
Long-sighted,Biet lo xa
Long-standing,Lau doi
Long-suffering,Chiu kho
Long-term,Dai han
Long-winded,Dai dong
Long.,Dai 
Long,Dai
Longboat,Thuyen dai
Longbow,Cung
Longeron,spar
Longevity,Tuoi tho
Longhand,Ban tay dai
Longing,Khao khat
Longitude,Kinh do
Longitudinal,Theo chieu doc
Longshore,Bo bien
Longshoreman,Nguoi di bo bien
Longways,Nhung con duong dai
Loo,Loo
Loofah,Muop
Look-alike,Trong giong nhau
Look-in,Nhin vao
Look,Nhin
Looker-on,Nhin vao
Looker,Nguoi nhin
Looking-glass,Guong soi
Lookout,Coi chung
Loon,Loon
Loony-bin,Loony bin
Loony,Dien khu?ng
Loop,Vong
Loophole,So ho
Loopy,Loopy
Loose-leaf,La long leo
Loose,Long leo
Loosen,Noi long
Loot,Cuop duoc
Lop-eared,Lop tai
Lop,Lop
Lope,Day buoc
Lopsided,Lopsided
Loquacious,Loquacious
Loquat,Loquat
Lord's,Cua Chua
Lord,Chua te
Lordly,Chua te
Lords,Lanh chua
Lordship,Lanh chua
Lore,Lore
Lorgnette,kinh gian diep
Lorn,Dam dang
Lorry,Xe tai
Lose,Mat
Loser,Ke thua cuoc
Loss-leader,Mat nguoi chi huy
Loss,Su mat mat
Lost,Mat di
Lot,Rat nhieu
Loth,Loth
Lothario,Lothario
Lotion,Nuoc thom
Lottery,Ve so
Lotto,Lo to
Lotus-eater,Nguoi an hoa sen
Lotus,Hoa sen
Loud,On ao
Loudspeaker,Loa ngoai
Lough,Lough
Lounge,Phong cho
Lour,Lour
Louse,Con ran
Lousy,Toi te
Lout,Lout
Louvre,Bao tang Louvre
Lovable,Dang yeu
Lovage,Luu manh
Lovat,Lovat
Love-bird,Yeu chim
Love-child,Yeu tre con
Love-hate,Yeu ghet
Love-in-a-mist,Love in a mist
Love-lies-bleeding,Tinh yeu doi tra chay mau
Love-nest,To am tinh yeu
Love-seat,Ghe tinh yeu
Love,Yeu va quy
Loveable,Dang yeu
Loveless,Khong tinh yeu
Lovelorn,Nguoi yeu
Lovely,Dang yeu
Lovemaking,Lam tinh
Lover,Nguoi yeu
Lovesick,Tuong tu
Lovey-dovey,Lovey dovey
Loving-cup,Ly uyen uong
Loving,Thuong
Low-born,Thap be
Low-class,Hang thap
Low-down,Ha thap
Low-grade,Cap thap
Low-key,Khiem ton
Low-level,Cap thap
Low-lying,Trung
Low-pitched,Am thap
Low-rise,Tang thap
Low,Thap
Lowbrow,Lowbrow
Lower,Thap hon
Lowest,Thap nhat
Lowland,Vung dat thap
Lowly,Hen mon
Loyal,Trung thanh
Loyalist,Nguoi trung thanh
Lozenge,Lozenge
Lp,Lp
Lpo,Lpo
Lsd,Lsd
Lse,Lse
Lso,Lso
Lt.,Trung uy
Ltd.,Ltd 
Lu,Lu
Lubber,Lubber
Lubricant,Chat boi tron
Lubricate,Boi tron
Lubricious,Ngon lanh
Lucerne,Lucerne
Lucid,Lucid
Lucifer,Lucifer
Luck,May man
Luckless,Khong may
Lucky,May man
Lucrative,Sinh loi
Lucre,Lucre
Luddite,Luddite
Ludicrous,Lo bich
Ludo,toi choi
Luff,Luff
Lug,Tai
Luggage,Hanh ly
Lugger,Lugger
Lughole,Lo hong
Lugsail,Lugsail
Lugubrious,Sau tham
Lugworm,Lugworm
Lukewarm,Lukewarm
Lull,Ru ngu
Lullaby,Hat ru
Lumbago,Lumbago
Lumbar,Ngang lung
Lumber-jacket,Ao khoac go
Lumber-room,Phong go
Lumber,Go xe
Lumberjack,Lumberjack
Luminary,Anh sang
Luminescence,Su phat quang
Luminous,Sang
Lump,Cuc buou
Lumpectomy,Cat bo khoi u
Lumpish,Cuc mich
Lumpy,San sui
Lunacy,Cuong khi
Lunar,Am lich
Lunate,Lunate
Lunatic,Cuong nhiet
Lunation,Lunation
Lunch,Bua trua
Luncheon,Tiec trua
Lung,Phoi
Lunge,Dot kich
Lupin,Lupin
Lupine,Lupin
Lupus,Lupus
Lurcher,Lurcher
Lure,Thu hut
Lurex,Lurex
Lurid,Lurid
Lurk,Lurk
Luscious,Ngon
Lust,Ham muon
Luster,Nuoc bong
Lustre,Nuoc bong
Lusty,Lusty
Lutanist,Nghe si choi dan
Lutenist,Nghe si dan luyt
Lutetium,Lutetium
Lutheran,Lutheran
Lux,Lux
Luxuriant,Xa hoa
Luxuriate,Sang trong
Luxurious,Sang trong
Luxury,Sang trong
Lv,Lv
Lw,Lw
Lych-gate,Cong Lych
Lychee,Vai thieu
Lycra,Lycra
Lye,Lye
Lying,Nam
Lymph,Bach huyet
Lymphatic,Bach huyet
Lymphoma,Lymphoma
Lynch,Lynch
Lynx-eyed,Mat Lynx
Lynx,Linh mieu
Lyre-bird,Lyre chim
Lyre,Lyre
Lyric,Loi bai hat
Lyrical,Tru tinh
Lyricism,Tru tinh
Lyricist,Nguoi viet loi
Lysergic,Lysergic
M.litt.,M litt 
M.p.g.,M p g 
M.p.h.,M p h 
M.phil.,M phil 
M.sc.,M sc 
M,M
Ma'am,Thua ba
Ma,Ma
Mac,Mac
Macabre,Macabre
Macadam,Da dam
Macadamia,Macadamia
Macaque,Macaque
Macaroni,Mi ong
Macaroon,Macaroon
Macaw,Macaw
Macerate,macerated
Mach,Mach
Machete,Machete
Machiavellian,Machiavellian
Machination,Am muu
Machine-gun,Sung may
Machine-readable,May co the doc duoc
Machine,Co may
Machinery,May moc
Machinist,Tho may
Machismo,Machismo
Macho,Nhin
Macintosh,Macintosh
Mack,Mack
Mackerel,Ca thu
Mackintosh,Mackintosh
MacramÃ©,Macrame
Macro-,Macro 
Macrobiotic,Thuc duong
Macrocarpa,Macrocarpa
Macrocosm,Macrocosm
Macroeconomics,Kinh te vi mo
Macron,Macron
Macroscopic,Vi mo
Macula,Macula
MacÃ©doine,Macedoine
Mad,Dien
Madam,Thua ba
Madame,Thua ba
Madcap,Madcap
Madden,Madden
Madder,Madder
Made,Thuc hien
Madeira,Go
Mademoiselle,Mademoiselle
Madhouse,Madhouse
Madly,Dien ro
Madman,Nguoi dien
Madonna,Madonna
Madrigal,Madrigal
Madwoman,Ba dien
Mae,Co
Maelstrom,Maelstrom
Maenad,Maenad
Maestro,Nhac truong
Mafia,Xa hoi den
Mafioso,Xa hoi den
Mag,Mag
Magazine,Tap chi
Magenta,Do tuoi
Maggot,Sau non
Magi,Phap su
Magic,Ao thuat
Magical,Huyen dieu
Magician,Nha ao thuat
Magisterial,Magisterial
Magistracy,Magistracy
Magistrate,Tham phan
Magma,dung nham
Magna,Magna
Magnanimous,Hao hung
Magnate,Ong trum
Magnesia,Magnesia
Magnesium,Magie
Magnet,Nam cham
Magnetic,Tu tinh
Magnetism,Tu tinh
Magnetize,Tu hoa
Magneto,Magneto
Magnificat,Magnificat
Magnification,Phong dai
Magnificent,Trang le
Magnify,Phong dai
Magnifying,Phong dai
Magnitude,Kich co
Magnolia,Moc lan
Magnox,Magnox
Magnum,Magnum
Magpie,Magpie
Magus,Magus
Magyar,nguoi Hungary
Mah-jong,Mah jong
Maharaja,Maharaja
Maharanee,Nu hoang
Maharishi,Maharishi
Mahatma,Mahatma
Mahlstick,Mahlstick
Mahogany,Go gu
Mahonia,Mahonia
Mahout,Quan tuong
Maid,Nguoi giup viec
Maiden,Thoi con gai
Maidenhair,Maidenhair
Maidenhead,Maidenhead
Maidservant,Nguoi hau gai
Mail,Thu
Mailbag,Tui thu
Mailbox,Hop thu
Mailing,gui thu
Mailshot,mailshot
Maim,Maim
Main,Chinh
Mainframe,May tinh lon
Mainland,Dat lien
Mainline,Dong chinh
Mainly,Chu yeu
Mainmast,Mainmast
Mainsail,Mainsail
Mainspring,Mainspring
Mainstay,Ngay chu nhat
Mainstream,Xu huong
Maintain,Duy tri
Maintained,Duoc duy tri
Maintenance,Su bao tri
Maintop,mantop
Maintopmast,Bao tri
Maiolica,Majolica
Maisonette,Maisonette
Maize,Bap
Maj.,Thieu ta 
Majestic,Hung vi
Majesty,Be ha
Majolica,Majolica
Major-domo,Major domo
Major-general,Thieu tuong
Major,Chinh
Majorette,hoat nao vien
Majority,So dong
Make-believe,Tao niem tin
Make-up,Trang diem
Make,Lam
Maker,Nha san xuat
Makeshift,Tam bo
Makeweight,Trong luong
Making,Lam
Mal-,Lan 
Malachite,Malachite
Maladjusted,Da dieu chinh sai
Maladminister,Ke theo chu nghia doc ac
Maladroit,Hau dau
Malady,Malady
Malaise,Malaise
Malapropism,Malapropism
Malaria,Benh sot ret
Malarkey,Malarkey
Malay,Tieng Ma Lai
Malcontent,Malcontent
Male,Nam gioi
Malediction,Chet tiet
Malefactor,Nam nhan vat
Malevolent,Ac tam
Malfeasance,Malfeasance
Malformation,Di dang
Malfunction,Su co
Malice,Ac y
Malicious,Doc hai
Malign,Hung tinh
Malignant,Ac tinh
Malinger,Son
Mall,Trung tam mua sam
Mallard,Vit troi
Malleable,De uon
Mallet,Vo
Mallow,Mallow
Malmsey,Malmsey
Malnourished,Suy dinh duong
Malnutrition,Suy dinh duong
Malodorous,Hoi
Malpractice,So suat
Malt,Mach nha
Malted,Mach nha
Maltese,cay nho
Malthusian,Malthusian
Maltose,Maltose
Maltreat,Maltreat
Mama,ma
Mamba,Ba
Mambo,Mambo
Mamma,Me
Mammal,Dong vat co vu
Mammary,Mammary
Mammogram,Chup quang tuyen vu
Mammography,Chup nhu anh
Mammon,Mammon
Mammoth,Voi ma mut
Man-at-arms,Man in arm
Man-hour,Gio cong
Man-made,Nguoi lam
Man-of-war,Man of war
Man,Nguoi dan ong
Manacle,Manacle
Manage,Quan ly
Management,Ban quan ly
Manager,Nguoi quan ly
Manageress,Quan ly
Managing,Quan ly
Manatee,Lon bien
Mancunian,Mancunian
Mandala,Man da la
Mandamus,Mandamus
Mandarin,Quan thoai
Mandate,Thi hanh
Mandatory,Bat buoc
Mandible,Ham duoi
Mandolin,Mandolin
Mandrake,Mandrake
Mandrel,Mandrel
Mandrill,Mandrill
Mane,Bom
Maneuver,Co dong
Manful,Nam tinh
Manganese,Mangan
Mange-tout,An tat ca
Mange,Nhieu
Mangel-wurzel,thieu goc
Manger,An
Mango,Xoai
Mangold-wurzel,goc chard
Mangrove,Rung ngap man
Mangy,Mangy
Manhandle,Manhandle
Manhole,Nap cong
Manhood,Thoi ky dan ong
Manhunt,Manhunt
Mania,Mania
Maniac,Maniac
Manic-depressive,Tram cam
Manic,Phan khich
Manicure,Cat mong tay
Manifest,Ro rang
Manifesto,Tuyen ngon
Manifold,Nhieu thu khac nhau
Manikin,Manikin
Manila,Manila
Manipulate,Van dung
Manipulative,Loi keo
Mankind,Nhan loai
Manky,Manky
Manly,Nam tinh
Manna,Nguoi dan ong
Manned,Co nguoi lai
Mannequin,Ma no canh
Manner,Thai do
Mannered,Co nguoi dieu hanh
Mannerism,Cach cu xu
Mannerly,Lich su
Mannish,Nguoi dan ong
Manoeuvre,Co dong
Manor,Trang vien
Manpower,Nhan luc
ManquÃ©,manque
Mansard,Mansard
Manse,Manse
Manservant,Nguoi phu viec nam
Mansion,Dinh thu
Manslaughter,Manslaughter
Mantel,Mantel
Mantelpiece,Mantelpiece
Mantelshelf,Gia do
Mantilla,Mantilla
Mantis,con bo ngua
Mantissa,Mantissa
Mantle,Ao choang
Mantra,Than chu
Mantrap,Mantrap
Manual,Thu cong
Manufacture,San xuat
Manure,Phan chuong
Manuscript,Ban thao
Manx,Manx
Many,Nhieu
ManÃ¨ge,ManA�ge
Maoism,Chu nghia Mao
Maori,Tieng Maori
Map,Ban do
Maple-leaf,La phong
Maple,Cay phong
Maquette,Nguoi mau
Maquis,maquis
Mar,Mar
Marabou,Marabou
Maraca,maraca
Maraschino,Maraschino
Marathon,Marathon
Maraud,Maraud
Marble,Da hoa
Marbling,Danh dau
Marcasite,Marcasite
March,Buoc deu
Marching,Dieu hanh
Marchioness,Marchioness
Mardi,Thu ba
Mare's,Cua Mare
Margarine,Bo thuc vat
Marge,Marge
Margin,Le
Marginal,Ngoai le
Marginalia,Marginalia
Marginalize,Ra le
Marguerite,Marguerite
Maria,Maria
Marigold,Cuc van tho
Marijuana,Can sa
Marimba,Marimba
Marina,Ben du thuyen
Marinade,gia vi
Marinate,Uop
Marine,Hang hai
Mariner,Mariner
Marionette,Con roi
Marital,Hon nhan
Maritime,Hang hai
Marjoram,la kinh gioi
Mark-down,Danh dau xuong
Mark-up,Danh dau
Marked,Da danh dau
Marker,Danh dau
Market-day,Ngay hop cho
Market-place,Thuong truong
Market,Thi truong
Marketable,Co the ban tren thi truong
Marketeer,nha tiep thi
Marking,Danh dau
Marksman,Marksman
Marl,Marl
Marlin,Marlin
Marlinspike,Marlinspike
Marmalade,Mut cam
Marmite,Marmite
Marmoreal,Marmoreal
Marmoset,Marmoset
Marmot,Marmot
Marocain,Maroc
Marque,Danh dau
Marquee,Marquee
Marquess,Marquess
Marquetry,Marquetry
Marquis,hau tuoc
Marquise,Marquise
Marram,Marram
Marriage,Hon nhan
Marriageable,Co the ket hon
Married,Cuoi nhau
Marron,Mau nau
Marrow,Tuy
Marrowbone,Xuong tuy
Marrowfat,Marrowfat
Marry,Ket hon
Marsala,Marsala
Marseillaise,Marseillaise
Marsh,Dam lay
Marshal,soai ca
Marshalling,Marshalling
Marshland,Dam lay
Marshmallow,Keo deo
Marsupial,Marsupial
Mart,Mart
Martello,cay bua
Marten,mot loai chon
Martial,Vo
Martian,Sao Hoa
Martin,Martin
Martinet,Nhanh
Martingale,Martingale
Martini,Martini
Martinmas,Martinmas
Martyr,Tu dao
Marvel,ky quan
Marvellous,Ky dieu
Marvelous,Ky dieu
Marxism-leninism,Chu nghia Mac lenin
Marxism,chu nghia Mac
Marzipan,banh hanh nhan
Mascara,Mascara
Mascot,Linh vat
Masculine,Giong du?c
Maser,Maser
Mash,Ngam
Mask,Mat na
Masking,Dap mat na
Masochism,Masochism
Mason,Tho ne
Masonic,Masonic
Masonry,Ne
Masque,Gia trang
Masquerade,Hoi hoa trang
Mass,Khoi luong
Massacre,Tan sat
Massage,Mat xa
Masseur,Nguoi xoa bop
Massif,To lon
Massive,To lon
Mastectomy,Cat bo vu
Master-class,Lop hoc thac si
Master-key,Khoa chinh
Master-stroke,Net chinh
Master-switch,Master switch
Master,Bac thay
Masterful,Thanh thao
Masterly,Thanh thao
Mastermind,Chu muu
Masterpiece,Kiet tac
Mastery,Thanh thao
Masthead,Quang cao tren trang dau
Mastic,gan guong
Masticate,Nhai
Mastiff,Mastiff
Mastitis,Viem vu
Mastodon,Mastodon
Mastoid,Mastoid
Masturbate,Thu dam
Matador,Matador
Match,Cuoc thi dau
Matchboard,Matchboard
Matchbox,Hop diem
Matchless,Vo trung
Matchmaker,Mai moi
Matchstick,Que diem
Matchwood,Cay diem
Mater,Mater
Material,Vat chat
Materialism,Chu nghia duy vat
Materialize,Cu the hoa
Materially,Vat chat
Maternal,Me
Maternity,San phu
Matey,Matey
Math,mon Toan
Mathematical,Toan hoc
Mathematics,toan hoc
Maths,Toan hoc
Matinee,Matinee
Matins,Buoi sang
MatinÃ©e,Buoi sang
Matriarch,Matriarch
Matriarchy,Che do mau he
Matrices,Ma tran
Matricide,Matricide
Matriculate,Matriculate
Matrimony,Hon nhan
Matrix,Ma tran
Matron,Matron
Matronly,Matronly
Matt,Matt
Matter-of-fact,Van de cua thuc te
Matter,Van de
Matting,Matting
Mattins,Mattins
Mattock,Mattock
Mattress,Nem
Maturate,Truong thanh
Maturation,Truong thanh
Mature,Truong thanh
Matutinal,Quan trong
Maty,Chet
MatÃ©riel,Vat chat
Maudlin,Maudlin
Maul,Maul
Maulstick,Maulstick
Maunder,Di lang thang
Maundy,Maundy
Mausoleum,Lang mo?
Mauve,Mauve
Maverick,Maverick
Maw,Maw
Mawkish,ban o dau 
Max.,Toi da
Maxi-,Maxi 
Maxi,Maxi
Maxilla,Ham tren
Maxim,Cham ngon
Maxima,Maxima
Maximal,Cuc dai
Maximize,Toi da hoa
Maximum,Toi da
May,Co the
Maya,Maya
Maybe,Co le
Mayday,Mayday
Mayflower,Hoa may
Mayfly,Mayfly
Mayhem,Mayhem
Mayn't,Co the khong
Mayonnaise,mayonaise
Mayor,Thi truong
Mayoralty,Mayoralty
Mayoress,Chuyen nganh
Maypole,Maypole
Maze,me cung
Mazurka,Mazurka
MaÃ±ana,MaA�ana
Mb,Mb
Mba,Mba
Mbe,Mbe
Mbo,Mbo
Mc,Mc
Mcc,Mcc
"Mccarthyism,",Mccarthyism 
Mccarthyism,Dao duc nghe nghiep
Mccoy,Mccoy
Md,Md
Me,Toi
Mea,Mea
Mead,Mead
Meadow,dong co
Meadowsweet,Meadowsweet
Meager,Le tien
Meagre,Le tien
Meal-ticket,Ve bua an
Meals,Bua an
Mealtime,Gio an
Mealy-mouthed,Mealy mom
Mealy,Mealy
Mean,Ban tien
Meander,Quanh co
Meanie,Nguoi keo kiet
Meaning,Nghia
Meaningful,Co y nghia
Meaningless,Vo nghia
Means,Co nghia
Meant,Co nghia la
Meantime,Thoi gian cho
Meanwhile,Trong khi do
Meany,Meany
Measles,Benh soi
Measly,Mot cach chinh xac
Measure,Do luong
Measured,Do luong
Measureless,Khong do luong
Measurement,Do dac
Meat,Thit
Meatball,Thit vien
Meaty,Nhieu thit
Mecca,Thanh dia
Mechanic,Cong nhan co khi
Mechanical,Co khi
Mechanics,Co hoc
Mechanism,Co che
Mechanize,Co gioi hoa
Med,Voi
Medal,Huy chuong
Medalist,Nguoi nhan huy chuong
Medallion,Huy chuong
Medallist,Nguoi nhan huy chuong
Meddle,Meddle
Meddlesome,Meddlesome
Media,Phuong tien truyen thong
Mediaeval,Thoi trung co
Medial,Trung gian
Median,Trung binh
Mediate,Trung gian
Medic,Medic
Medical,Thuoc ve y hoc
Medicament,Thuoc
Medicare,Medicare
Medicate,Ton vinh
Medication,Thuoc
Medicinal,Duoc lieu
Medicine,Duoc pham
Medieval,Thoi trung co
Mediocre,Tam thuong
Mediocrity,Tam thuong
Meditate,Suy nghi
Meditative,Thien dinh
Mediterranean,Dia trung hai
Medium-range,Tam trung
Medium,Vua phai
Medlar,Son tra
Medley,Tron lon
Medulla,Tuy song
Medusa,Medusa
Meek,nhu mi
Meerkat,Meerkat
Meerschaum,bot bien
Meeting,Gap go
Mega-,Sieu cap 
Mega,Sieu cap
Megabuck,Megabuck
Megabyte,Megabyte
Megadeath,Megadeath
Megahertz,Megahertz
Megalith,Megalith
Megalomania,Megalomania
Megalosaurus,Megalosaurus
Megaphone,Cai loa
Megastar,Sieu sao
Megaton,Megaton
Megavolt,Anh ay da co no
Megawatt,Megawatt
Megohm,Megohm
Meiosis,Meiosis
Melamine,Melamine
Melancholia,Melancholia
Melancholy,Sau muon
Melanin,Melanin
Melanoma,U ac tinh
Melba,Melba
Meld,Meld
Melee,Can chien
Mellifluous,Hoa la
Mellow,Em diu
Melodeon,Melodeon
Melodic,Du duong
Melodious,Du duong
Melodrama,Chinh kich
Melody,Lan dieu
Melon,Dua gang
Melt,Tan chay
Meltdown,Tan chay
Melting-pot,Noi nau kim khi
Melting,Tan chay
Member,Thanh vien
Membership,Tu cach thanh vien
Membrane,Mang
Memento,Memento
Memo,Ba?n ghi nho
Memoir,Hoi ky
Memorabilia,Ky vat
Memorable,Dang nho
Memorandum,Ban ghi nho
Memorial,Dai ky niem
Memorize,Ghi nho
Memory,Ki niem
Memsahib,Memsahib
Men,Dan ong
Menace,Uy hiep
Menagerie,Menagerie
Mend,Han gan
Mendacious,Mendacious
Mendelevium,Mendelevius
Mendelian,Mendelian
Mendicant,Hanh khat
Mending,Han gan
Menfolk,Canh dan ong
Menhir,Menhir
Menial,Menial
Meninges,Mang nao
Meningitis,Viem mang nao
Meniscus,Mat khum
Menopause,Thoi ky man kinh
Menorah,Menorah
Mens,Nhan loai
Menses,Kinh nguyet
Menstrual,Kinh nguyet
Menstruate,Kinh nguyet
Menstruation,Hanh kinh
Mensuration,Do dac
Menswear,Quan ao nam
Mental,Tam than
Mentality,Tinh than
Menthol,Tinh dau bac ha
Mentholated,Boc
Mention,De cap den
Mentor,Nguoi huong dan
Menu,Thuc don
Mep,Mep
Mephistophelean,Mephistophelean
Mercantile,Trong thuong
Mercator,Mercator
Mercenary,Linh danh thue
Mercer,Mercer
Mercerize,Mercerize
Merchandise,Hang hoa
Merchant,Thuong gia
Merchantable,Co the ban
Merchantman,Nguoi ban hang
Merciful,Nhan tu
Mercifully,Nhan tu
Merciless,Nhan tam
Mercurial,Khong kien dinh
Mercury,thuy ngan
Mercy,Nhan tu
Meretricious,Sieu pham
Merganser,Sap nhap
Merge,Hop nhat
Merger,Hop nhat
Meridian,Kinh tuyen
Meridional,Meridional
Meringue,banh ngot lam bang long trang trung va duong
Merino,Merino
Merit,Cong lao
Meritocracy,Che do khen thuong
Meritorious,Cong
Merlin,Merlin
Mermaid,My nhan ngu
Merry-go-round,Merry go round
Merry,Vui
Merrymaking,Merrymaking
Mescal,Mescal
Mescaline,Mescaline
Mesdames,quy co
Mesdemoiselles,quy co
Mesembryanthemum,Mesembryanthemum
Mesh,Luoi thep
Mesmerize,Thoi mien
Meso-,Thit 
Mesolithic,Thoi ky do da cu
Mesomorph,Mesomorph
Meson,Meson
Mesosphere,Mesosphere
Mesozoic,Dai trung sinh
Mess,Su lon xon
Message,Thong diep
Messeigneurs,Messeigneurs
Messenger,Tin nhan
Messiah,Dang cuu the
Messianic,Dang Me si
Messieurs,quy ong
Messrs,Messrs
Messy,Lon xon
Meta-,Meta 
Metabolism,Su trao doi chat
Metabolite,Chat chuyen hoa
Metabolize,Trao doi chat
Metacarpus,Metacarpus
Metal,Kim loai
Metalanguage,Metalanguage
Metallic,Kim loai
Metalliferous,Kim loai
Metallize,Metallize
Metallography,Kim loai hoc
Metalloid,Metalloid
Metallurgy,Luyen kim
Metalwork,Do kim loai
Metamorphic,Bien thai
Metamorphose,su bien hinh
Metamorphosis,Su bien hinh
Metaphor,Phep an du
Metaphysic,Sieu hinh hoc
Metaphysical,Sieu hinh hoc
Metaphysics,Sieu hinh hoc
Metastasis,Di can
Metatarsus,Co chan
Mete,Dat
Meteor,Sao bang
Meteoric,Meteoric
Meteorite,Manh thien thach
Meteoroid,Meteoroid
Meteorology,Khi tuong hoc
Methadone,Methadone
Methanal,Methanal
Methane,Metan
Methanoic,Methanoic
Methanol,Metanol
Methinks,Methinks
Method,Phuong phap
Methodical,Co phuong phap
Methodist,Nha giam dinh
Methodology,Phuong phap luan
Methought,Methought
Meths,Meths
Methyl,Metyl
Methylate,Metylat
Methylated,Metyl hoa
Meticulous,Ti mi
Metonymy,Phep an du
Metre-kilogram-second,Met kilogam giay
Metric,He met
Metrical,He met
Metricate,Metricate
Metro,tau dien
Metronome,May dem nhip
Metropolis,Metropolis
Metropolitan,Metropolitan
Mettle,Khi phach
Mev,Mev
Mewl,Mewl
Mews,Mews
Mexican,Nguoi Mexico
Mezzanine,Gac lung
Mezzo,Mot nua
Mezzotint,Mezzotint
Mf,Mf
Mg,Mg
Mgr.,Duc Cha 
Mhz,Mhz
Miaow,Miaow
Miasma,Chuong khi
Mica,Mica
Mice,Chuot
Michaelmas,Michaelmas
Mick,Mick
Mickey,Mickey
Mickle,Mickle
Micky,Micky
Micro-,Micro 
Micro-electronics,Dien tu vi mo
Micro-organism,Vi sinh vat
Micro,Vi mo
Microbe,Vi khuan
Microbiology,Vi trung hoc
Microchip,Vi mach
Microcircuit,Vi mach
Microclimate,Vi khi hau
Microcomputer,May vi tinh
Microcosm,Mo hinh thu nho
Microdot,Microdot
Microfiche,Microfiche
Microfilm,Microfilm
Microlight,Den sieu nho
Micromesh,Micromesh
Micrometer,Panme
Micron,Micron
Microphone,Cai mic co ro
Microphotograph,May chup anh vi mo
Microprocessor,Bo vi xu ly
Microscope,Kinh hien vi
Microscopic,Kinh hien vi
Microscopy,Kinh hien vi
Microsecond,Microsecond
Microsurgery,Vi phau thuat
Microwave,Lo vi song
Micturition,Micturition
Mid-life,Giua cuoc doi
Mid-off,Giua chung
Mid-on,Giua chung
Mid,Giua
Midday,Giua trua
Midden,o giua
Middle-age,Trung nien
Middle-of-the-road,Giua duong
Middle-sized,Co trung binh
Middle,O giua
Middlebrow,Middlebrow
Middleman,Nguoi trung gian
Middleweight,Hang trung
Middling,Middling
Midfield,Tien ve
Midge,Midge
Midget,Nguoi lun
Midi,Midi
Midland,Trung du
Midnight,Nua dem
Midriff,Midriff
Midshipman,Tho tau
Midships,Tau thuyen
Midst,Giua
Midstream,Giua dong
Midsummer,Midsummer
Midway,Giua chung
Midwest,Trung tay
Midwicket,Midwicket
Midwife,Nu ho sinh
Midwinter,Giua mua dong
Mien,Mien
Miff,Miff
Might-have-been,Co le da
Mightn't,Co the khong
Mighty,Hung manh
Mignonette,Mignonette
Migraine,Dau nua dau
Migrant,Di dan
Migrate,Di cu
Mikado,Hoang de
Mike,Mike
Mil,Ngan
Milady,Milady
Milage,Milage
Milch,Sua
Mild-mannered,Lich su
Mild,Nhe
Mildew,Mildew
Mildly,Nhe
Mile,Dam
Mileage,Dam
Miler,Miler
Milestone,Cot moc
Milfoil,Milfoil
Milieu,Moi truong
Militant,Dan quan
Militarism,Chu nghia quan phiet
Militarize,Quan su hoa
Military,Quan doi
Militate,Nghien ngam
Militia,Dan quan
Milk-powder,Sua bot
Milk,Sua
Milkmaid,Nguoi giup viec sua
Milkman,Nguoi giao sua
Milksop,Vat sua
Milky,Milky
Mill-race,Mill race
Mill-wheel,Coi xay
Mill,Coi xay
Millefeuille,Yarrow
Millennium,Thien nien ky
Millepede,Millepede
Miller's,Millers
Miller,Miller
Millesimal,He thap phan
Millet-grass,Co ke
Millet,Cay ke
Milli-,Milli 
Milliard,Ty
Millibar,Millibar
Milligram,Milligram
Milliliter,Mi li lit
Millilitre,Mililit
Millimeter,Milimet
Millimetre,Milimet
Milliner,Milliner
Million,Trieu
Millionaire,Nha trieu phu
Millipede,Con cuon chieu
Millisecond,Mili giay
Millpond,Milp giay
Millstone,Coi xay
Millworker,Tho may
Millwright,Millwright
Milometer,Milometer
Milord,Thua ngai
Milt,Milt
Mime,Kich cam
Mimeograph,Mimeograph
Mimetic,Mimetic
Mimic,Bat chuoc
Mimosa,Mimosa
Min.,Toi thieu 
Mina,Cua toi
Minaret,Minaret
Minatory,Minatory
Mince,Mince
Mincemeat,Thit bam
Mind-blowing,Thoi bay tam tri
Mind-boggling,Tam boggling
Mind-read,Doc tam tri
Mind,Tam tri
Minded,Co tam
Minder,It hon
Mindful,Trach nhiem
Mindless,Vo tam
Minefield,Bai min
Minelayer,Tho mo
Miner,Tho mo
Mineral,Khoang san
Mineralize,Khoang hoa
Mineralogy,Khoang vat hoc
Minestrone,Minestrone
Minesweeper,Minesweeper
Mineworker,Tho mo
Ming,Ming
Mingle,Hoa minh
Mingy,Mingy
Mini-,Mini 
Mini,Mini
Miniature,Thu nho
Miniaturize,Thu nho
Minibus,Xe buyt nho
Minicab,Minicab
Minicomputer,May tinh mini
Minim,Toi thieu
Minima,Cuc tieu
Minimal,Toi thieu
Minimalism,Chu nghia toi gian
Minimize,Giam thieu
Minimum,Toi thieu
Minion,Thuong yeu
Minipill,Minipill
Miniseries,Tap phim ngan
Miniskirt,Vay ngan
Minister,bo truong muc su
Ministration,Bo truong
Ministry,Bo
Mink,Con chon
Minnow,Minnow
Minoan,Minoan
Minor,Dien vien phu
Minority,Thieu so
Minster,Minster
Minstrel,Minstrel
Minuet,Minuet
Minus,Dau tru
Minuscule,Co nho
Minute,Phut
Minutiae,Minutiae
Minx,Minx
Miocene,Miocen
Miracle,Phep mau
Miraculous,Ky dieu
Mirage,Mirage
Miras,Gia tai
Mire,Mire
Mirror,Guong
